Method	ID	Species	Fishery	Year	Quarter	Tno	0	1	2	3	4	5	6	7	8	9
DMPAB	23	BET	FS	1978	2	1	0	0	1	0	0	0	0	0	0	0
DMPAB	24	BET	FS	1978	3	17	0	4	13	0	0	0	0	0	0	0
DMPAB	25	BET	FS	1978	4	76	1	18	33	1	4	10	5	2	1	1
DMPAB	26	BET	FS	1979	1	6	0	1	5	0	0	0	0	0	0	0
DMPAB	27	BET	FS	1979	2	6	0	1	4	0	1	0	0	0	0	0
DMPAB	28	BET	FS	1979	3	13	0	3	10	0	0	0	0	0	0	0
DMPAB	3	BET	FS	1979	4	2	0	1	1	0	0	0	0	0	0	0
DMPAB	4	BET	FS	1980	1	292	2	61	174	22	14	10	5	2	1	1
DMPAB	5	BET	FS	1980	2	156	2	40	88	6	8	8	3	1	0	0
DMPAB	6	BET	FS	1980	3	225	6	49	135	28	7	0	0	0	0	0
DMPAB	7	BET	FS	1980	4	59	1	10	18	12	10	5	2	1	0	0
DMPAB	8	BET	FS	1981	1	41	0	9	25	3	2	1	1	0	0	0
DMPAB	9	BET	FS	1981	2	22	0	6	13	1	1	1	0	0	0	0
DMPAB	10	BET	FS	1981	3	32	1	7	19	4	1	0	0	0	0	0
DMPAB	1	BET	FS	1981	4	8	0	1	2	2	2	1	0	0	0	0
DMPAB	2	BET	FS	1982	1	1591	15	349	898	130	87	60	30	13	5	4
DMPAB	11	BET	FS	1982	2	838	7	222	483	27	33	37	19	7	2	1
DMPAB	12	BET	FS	1982	3	1228	35	266	699	178	49	1	0	0	0	0
DMPAB	13	BET	FS	1982	4	281	5	38	70	79	62	17	7	2	1	0
DMPAB	14	BET	FS	1983	1	4829	41	1081	2758	178	75	379	214	79	19	5
DMPAB	15	BET	FS	1983	2	1878	16	421	1073	69	29	147	83	31	7	2
DMPAB	16	BET	FS	1983	3	2362	20	529	1349	87	37	185	105	39	9	2
DMPAB	17	BET	FS	1983	4	1900	16	419	1069	69	32	160	91	34	8	2
DMPAB	18	BET	FS	1984	1	20134	220	4665	12939	413	184	933	527	196	46	11
DMPAB	19	BET	FS	1984	2	24316	259	5505	17276	1	243	566	314	117	28	7
DMPAB	20	BET	FS	1984	3	30875	537	6699	21491	163	891	820	199	59	13	3
DMPAB	21	BET	FS	1984	4	51533	1225	7373	4677	13394	16153	6377	1743	480	91	20
DMPAB	22	BET	FS	1985	1	114827	3446	33083	36002	16819	17322	6215	1454	381	84	21
DMPAB	29	BET	FS	1985	2	27049	1388	9877	14597	671	453	50	10	2	1	0
DMPAB	30	BET	FS	1985	3	59536	7400	34889	16191	856	198	2	0	0	0	0
DMPAB	31	BET	FS	1985	4	10483	227	3357	3120	3033	605	81	43	13	3	1
DMPAB	32	BET	FS	1986	1	107758	873	24645	35002	30539	7571	5143	2830	865	214	76
DMPAB	33	BET	FS	1986	2	16102	22	409	14588	908	174	1	0	0	0	0
DMPAB	34	BET	FS	1986	3	57522	710	2228	28051	20394	6096	43	0	0	0	0
DMPAB	35	BET	FS	1986	4	89863	5627	19142	52634	10438	1992	30	0	0	0	0
DMPAB	36	BET	FS	1987	1	50644	7909	14931	17199	3595	4583	1997	327	80	19	4
DMPAB	37	BET	FS	1987	2	30072	3218	7129	11277	5183	3142	102	16	4	1	0
DMPAB	38	BET	FS	1987	3	194265	9959	27140	81003	45400	30354	409	0	0	0	0
DMPAB	39	BET	FS	1987	4	453805	48999	159421	181599	59596	4132	58	0	0	0	0
DMPAB	40	BET	FS	1988	1	126584	34	13546	53240	16037	23131	17520	2268	465	202	141
DMPAB	41	BET	FS	1988	2	395276	155	150155	227939	4515	4526	5281	1387	650	413	255
DMPAB	42	BET	FS	1988	3	79186	273	20167	55963	2008	391	256	78	28	14	8
DMPAB	43	BET	FS	1988	4	336602	3410	21563	249570	48091	8084	4508	1186	155	27	8
DMPAB	44	BET	FS	1989	1	355318	947	108358	214118	15393	11827	4168	351	101	42	13
DMPAB	45	BET	FS	1989	2	245850	3618	78394	147586	11188	3461	1176	326	80	17	4
DMPAB	46	BET	FS	1989	3	45447	1822	3226	22396	17522	480	1	0	0	0	0
DMPAB	47	BET	FS	1989	4	45443	650	3528	26491	14666	108	0	0	0	0	0
DMPAB	48	BET	FS	1990	1	244294	239	52472	151772	19665	15744	3011	1000	293	74	24
DMPAB	49	BET	FS	1990	2	59418	444	5159	20295	5273	12226	11612	2557	1089	488	275
DMPAB	50	BET	FS	1990	3	128134	1146	12981	54677	14627	21114	14374	6804	1883	394	134
DMPAB	51	BET	FS	1990	4	30581	498	2285	8042	11968	3248	3419	792	231	71	27
DMPAB	52	BET	FS	1991	1	65911	108	1147	2320	1088	21069	25483	9491	2981	1280	944
DMPAB	53	BET	FS	1991	2	39513	95	2237	3597	6567	8093	11896	4893	1325	480	330
DMPAB	54	BET	FS	1991	3	117437	1947	41703	51542	9826	5852	4902	1261	285	84	35
DMPAB	55	BET	FS	1991	4	28132	310	8942	11307	1596	1880	2625	1012	290	105	65
DMPAB	56	BET	FS	1992	1	70804	280	5681	41575	3722	4154	7232	4324	1869	1046	921
DMPAB	57	BET	FS	1992	2	48133	67	936	42024	1941	1538	987	435	112	50	43
DMPAB	58	BET	FS	1992	3	27319	279	4353	14059	4861	947	1746	754	211	74	35
DMPAB	59	BET	FS	1992	4	30142	233	11233	10610	3245	513	2381	1398	344	118	67
DMPAB	60	BET	FS	1993	1	69667	134	5711	13028	11918	11068	12832	8115	3722	1844	1295
DMPAB	61	BET	FS	1993	2	64075	1	160	1217	3867	21875	22542	9627	2847	1143	796
DMPAB	62	BET	FS	1993	3	156879	1915	60614	53954	4373	19633	11700	3259	906	340	185
DMPAB	63	BET	FS	1993	4	23004	311	4895	1388	2314	7234	3923	1722	684	324	209
DMPAB	64	BET	FS	1994	1	55232	36	6420	10777	1618	6938	10454	6317	4643	3819	4210
DMPAB	65	BET	FS	1994	2	46121	62	4163	22760	2231	6901	3930	2206	1624	1172	1072
DMPAB	66	BET	FS	1994	3	26959	78	418	589	1781	2724	6040	5282	3932	3031	3084
DMPAB	67	BET	FS	1994	4	7352	1	284	850	214	358	1425	1839	1112	673	596
DMPAB	68	BET	FS	1995	1	67550	19	6780	32310	8574	3226	6664	5367	2318	1219	1073
DMPAB	69	BET	FS	1995	2	105722	19	5957	29501	26875	19286	12701	6087	2475	1418	1403
DMPAB	70	BET	FS	1995	3	24971	327	10481	8726	960	45	772	1348	856	663	793
DMPAB	71	BET	FS	1995	4	37514	7	1406	15862	11021	510	1510	2348	1922	1473	1455
DMPAB	72	BET	FS	1996	1	70604	123	11384	46367	3018	6182	2391	823	233	62	21
DMPAB	73	BET	FS	1996	2	93374	555	9078	36607	21630	10998	6648	3291	1809	1189	1569
DMPAB	74	BET	FS	1996	3	132253	4673	62079	46655	5757	6905	4640	1241	209	61	33
DMPAB	75	BET	FS	1996	4	49741	2252	13021	22240	1808	4155	3598	1410	678	352	227
DMPAB	76	BET	FS	1997	1	98367	988	24663	70988	471	186	563	323	109	45	31
