year	trop	all
1960	9.4307	6.8139
1961	7.7739	5.6707
1962	8.9104	6.5349
1963	8.5396	6.084
1964	8.338	6.1249
1965	7.1073	5.1922
1966	8.2113	5.9057
1967	6.8834	5.5014
1968	7.6369	5.9828
1969	7.3245	5.9343
1970	7.0753	6.5446
1971	6.1312	5.1404
1972	6.2259	5.5232
1973	6.8739	5.5412
1974	7.3066	5.6408
1975	5.8183	4.7618
1976	6.4736	5.3308
1977	12.1259	10.2461
1978	11.1043	9.2351
1979	7.1291	6.469
1980	7.5328	6.9683
1981	7.2867	6.1356
1982	8.4102	6.9589
1983	8.259	7.4119
1984	7.1199	5.8254
1985	6.7113	5.3011
1986	7.7838	6.0466
1987	9.2924	7.5631
1988	7.7706	6.3636
1989	7.1415	5.7971
1990	6.8674	5.4933
1991	5.9532	5.3706
1992	6.0457	5.1241
1993	5.8436	5.2471
1994	5.1448	4.8692
1995	5.3437	4.5944
1996	5.2184	4.555
1997	4.3767	3.9149
1998	4.7566	4.4666
1999	4.641	4.1745
2000	3.9786	3.8115
2001	3.9803	3.4636
2002	3.2193	2.9984
2003	3.7922	3.3598
2004	4.1657	3.8455
2005	4.668	3.5768
2006	4.2703	3.3428
2007	4.4645	3.3871
2008	4.1428	3.0293
2009	3.3174	2.5443
2010	3.1315	2.5229
