Year	NCnoFish	NCmtFish
1950	2772.89184542	20.6083017125
1951	15585.7471489805	107.1331367722
1952	23369.8296425841	396.3621204045
1953	53974.6055870608	1771.23938184
1954	166087.385244663	6995.6527457158
1955	226251.691252108	9885.2070947361
1956	290439.431425115	13000.6008341498
1957	312387.797075993	12207.8328395578
1958	300734.661791145	11871.5173992249
1959	264644.964095982	10085.4263766984
1960	381336.685195168	16296.1427743668
1961	367171.51345009	15159.463169626
1962	451155.12666796	18727.033095391
1963	346852.082792099	13552.331576126
1964	431531.185294193	18298.7644302413
1965	460721.029580338	19827.3597305615
1966	559090.419101287	24464.0272971689
1967	603192.426237437	25091.3798428339
1968	916561.328344577	40026.7944132464
1969	793257.773986073	30870.1863454989
1970	755847.39238844	28289.6270528656
1971	586268.504390893	23433.1114299412
1972	526672.473831875	20489.0133750925
1973	473011.018761389	18014.1405366135
1974	753528.873484105	28996.3741333878
1975	1075875.00317146	38585.7051702551
1976	921838.704945372	29460.4910982622
1977	903249.35556028	37064.196018149
1978	1214952.87223225	51656.1314146179
1979	957217.390855469	34306.8568371455
1980	991010.879904166	35838.0572853755
1981	1058014.34245073	35929.6515390832
1982	1177329.17276385	44663.0011161705
1983	1422493.96859549	51312.3044261739
1984	1851770.91690339	45276.8605975012
1985	2678645.51079159	53355.2602005804
1986	2893163.4609873	58493.6030855064
1987	3722745.75604671	66042.7926262335
1988	4534912.25995844	75477.8902213838
1989	4547103.32873568	70512.4262038892
1990	3740608.90211618	74766.2439692566
1991	3984453.28619727	78143.839822232
1992	3730789.74123788	72813.197076864
1993	4824566.69682947	102461.847336639
1994	5908582.23915882	110803.514398458
1995	8122672.44321728	119895.170431966
1996	7654513.18190551	128992.353128667
1997	11630697.7581235	149238.630895488
1998	8153073.70017983	142939.907337038
1999	11558814.3345265	152199.475947056
2000	8527445.10381337	130495.883657665
2001	8397929.29499961	121197.728596999
2002	9967586.14430682	141174.072842262
2003	6487436.42488771	129752.566520989
2004	6635565.32776195	138604.443441174
2005	6363976.8077299	122781.724690711
2006	6927863.09815645	120790.55426521
2007	8257988.0328888	123140.950781052
2008	9290134.29530716	108046.704282424
2009	9945052.41046521	108718.815670011
2010	7801280.91713386	80866.0274293234
2011	7537023.83114633	87419.6330003104
